case_id,ai_root_cause,ai_confidence,expected_fault,human_verdict,reviewer_notes
C001,Access port assigned to wrong VLAN (inferred from show-command evidence).,high,Access port assigned to wrong VLAN,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C002,Interface administratively down / cable issue (inferred from show-command evidence).,high,Interface administratively down / cable issue,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C003,Likely default gateway misconfiguration on the router interface.,medium,Missing dot1Q encapsulation on router sub-interface,Edited,AI misidentified as Layer 3 gateway issue; actual root cause is missing 'encapsulation dot1Q 10' on the router sub-interface (Layer 2).
C004,Missing ip helper-address on SVI/sub-interface (inferred from show-command evidence).,high,Missing ip helper-address on SVI/sub-interface,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C005,DHCP pool network statement mismatched to VLAN subnet (inferred from show-command evidence).,high,DHCP pool network statement mismatched to VLAN subnet,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C006,DHCP pool too small / exhausted (inferred from show-command evidence).,high,DHCP pool too small / exhausted,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C007,Missing DNS server option in DHCP pool (inferred from show-command evidence).,high,Missing DNS server option in DHCP pool,Edited,AI root cause was correct (missing DNS option in DHCP pool) but fix_steps omitted verifying with 'ipconfig /renew' on client; reviewer added the missing verification step.
C008,No external DNS forwarding configured (inferred from show-command evidence).,high,No external DNS forwarding configured,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C009,DNS server appears offline; recommend restarting DNS service.,medium,Stale/incorrect static DNS A record,Edited,AI blamed DNS server outage; evidence actually shows a stale static A record pointing to the wrong IP. Reviewer corrected root_cause and next_command.
C010,Missing static route for remote network (inferred from show-command evidence).,high,Missing static route for remote network,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C011,OSPF neighbor adjacency not formed (area/network mismatch) (inferred from show-command evidence).,high,OSPF neighbor adjacency not formed (area/network mismatch),Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C012,Asymmetric/missing return static route (inferred from show-command evidence).,high,Asymmetric/missing return static route,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C013,Wrong default gateway configured on host (inferred from show-command evidence).,high,Wrong default gateway configured on host,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C014,Overly broad ACL blocking legitimate inter-VLAN traffic (inferred from show-command evidence).,high,Overly broad ACL blocking legitimate inter-VLAN traffic,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C015,ACL defined but not applied to interface (security gap) (inferred from show-command evidence).,high,ACL defined but not applied to interface (security gap),Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C016,NAT not triggered - missing 'ip nat inside/outside' interface config (inferred from show-command evidence).,high,NAT not triggered - missing 'ip nat inside/outside' interface config,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C017,Static NAT port mapping misconfigured (inferred from show-command evidence).,low,Static NAT port mapping misconfigured,Accepted,AI flagged low confidence appropriately; reviewer confirmed static NAT port mapping was wrong and approved next_command.
C018,NAT ACL referencing incorrect source network (inferred from show-command evidence).,high,NAT ACL referencing incorrect source network,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C019,Wrong Wi-Fi passphrase configured on client or AP (inferred from show-command evidence).,high,Wrong Wi-Fi passphrase configured on client or AP,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C020,DHCP pool likely exhausted on VLAN30.,medium,VLAN pruned from trunk allowed list,Edited,"AI blamed DHCP pool exhaustion; actual cause is VLAN30 pruned from the trunk allowed-list, confirmed via show interfaces trunk."
C021,Missing inter-VLAN routing configuration (inferred from show-command evidence).,high,Missing inter-VLAN routing configuration,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C022,Duplicate static IP address assignment (inferred from show-command evidence).,high,Duplicate static IP address assignment,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C023,Incorrect subnet mask on host (inferred from show-command evidence).,high,Incorrect subnet mask on host,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C024,VLAN not permitted on trunk (native/allowed list issue) (inferred from show-command evidence).,high,VLAN not permitted on trunk (native/allowed list issue),Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C025,Native VLAN mismatch across trunk (inferred from show-command evidence).,high,Native VLAN mismatch across trunk,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C026,Physical cable fault suspected between switches.,medium,STP misconfiguration / loop not blocked,Rejected,"AI suggested a bad cable; evidence (multiple forwarding ports, no blocking) clearly points to an STP loop. Reviewer rejected and reassigned correct diagnosis."
C027,Encapsulation mismatch on serial/point-to-point link (inferred from show-command evidence).,high,Encapsulation mismatch on serial/point-to-point link,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C028,ACL missing return traffic permit / implicit deny (inferred from show-command evidence).,high,ACL missing return traffic permit / implicit deny,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
C029,OSPF timer mismatch preventing stable adjacency (inferred from show-command evidence).,low,OSPF timer mismatch preventing stable adjacency,Accepted,AI correctly flagged medium confidence given timer mismatch evidence; reviewer confirmed and requested show ip ospf neighbor before fixing.
C030,Port security violation causing intermittent err-disable (inferred from show-command evidence).,high,Port security violation causing intermittent err-disable,Accepted,AI diagnosis matched expected fault and cited evidence correctly.
