case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C031,Branch office users cannot access central intranet page at 10.10.10.50,R1 connected to ISP via Gi0/0/1; Static default route missing,show ip route: Gateway of last resort is not set,Missing default static route on border router,Layer 3,routing-static,High
C032,Finance PC connected to port Fa0/12 has no network connectivity and port LED is dark,SW2 switch port Fa0/12 dedicated to Finance department PC,show interfaces Fa0/12 status: Fa0/12 disabled err-disabled,Interface in err-disabled state due to port-security violation,Layer 2,port-security,High
C033,Engineering workstation in VLAN 40 cannot obtain IP address automatically,SW1 trunk to R1; R1 provides DHCP service for internal subnets,show running-config interface Gi0/0.40: interface GigabitEthernet0/0.40 ip address 192.168.40.1 255.255.255.0,Sub-interface shutdown or missing ip helper address on remote relay,Layer 3,dhcp-relay,Medium
C034,Inter-VLAN routing failing between VLAN 10 and VLAN 20 via router sub-interfaces,R1 router-on-a-stick sub-interface Gi0/0.20 servicing Sales VLAN 20,show interfaces Gi0/0.20: GigabitEthernet0/0.20 is administratively down line protocol is down,Router sub-interface administratively shutdown,Layer 1,interface-shutdown,High
C035,Client unable to access internal server by hostname webserver.local,Local router acting as DNS proxy/forwarder for branch network,show ip dns view: ip name-server 192.168.1.250 (unreachable DNS server IP),Incorrect IP address configured for DNS name-server,Layer 7,dns-misconfig,Medium
C036,Two switches SW1 and SW2 continuously flapping MAC addresses and causing broadcast storm,Trunk connection between SW1 Gi0/1 and SW2 Gi0/1,show interfaces trunk: Gi0/1 Auto / Auto native vlan 10 mismatch on native vlan 1,Native VLAN mismatch across trunk connection,Layer 2,vlan-trunking,High
C037,Users on 192.168.10.0/24 subnet cannot ping external web server 8.8.8.8,R1 border router configured with Overload NAT on Gi0/0/0,show ip nat statistics: Total active translations: 0 Access list 10 deny 192.168.10.0 0.0.0.255,NAT source access-list incorrectly denying internal subnet,Layer 3,nat-acl-denied,High
C038,OSPF neighbor state stuck in ExStart/Exchange between R1 and R2,Point-to-point link between R1 Gi0/1 and R2 Gi0/1,show ip ospf interface Gi0/1: MTU 1500 (R1) vs MTU 1450 (R2 mismatch),Interface MTU mismatch preventing OSPF database exchange,Layer 3,ospf-mtu-mismatch,Medium
C039,Web traffic on TCP port 443 blocked while ICMP pings succeed,R1 border firewall applying Extended ACL 102 on outside interface,show access-lists 102: access-list 102 deny tcp any any eq 443,Access Control List explicitly blocking HTTPS port 443,Layer 4,acl-blocking-port,High
C040,Wireless access point unable to register with Wireless LAN Controller (WLC),AP connected to switchport Fa0/8 on VLAN 100,show interfaces Fa0/8 switchport: Access Mode VLAN: 1 (Default),Switchport connected to AP assigned to wrong management VLAN,Layer 2,vlan-misconfig,High
C041,User on Fa0/1 cannot communicate with local gateway 192.168.10.1,SW1 Fa0/1 connected to PC1 in Sales VLAN 10,show interfaces Fa0/1 status: Fa0/1 err-disabled (bpduguard),Interface disabled due to BPDU Guard violation on portfast port,Layer 2,stp-bpduguard,High
C042,R1 and R2 fail to form BGP neighbor relationship over direct link,R1 eBGP peer with ISP router R2 on subnet 100.64.1.0/30,show ip bgp summary: Neighbor 100.64.1.2 State: Active (AS mismatch in config),BGP remote-as misconfiguration on peering statement,Layer 4,bgp-misconfig,High
C043,SSH access to core switch R1 fails; Telnet connects fine,VTY lines 0 4 configured on core switch,show ip ssh: SSH Disabled - RSA key size is 0 / crypto key not generated,Crypto RSA domain key not generated for SSH activation,Layer 7,management-ssh,Medium
C044,Switch trunk port Fa0/24 dropping tagged frames from VLAN 50,Trunk link between SW1 Fa0/24 and SW2 Fa0/24,show interfaces Fa0/24 switchport: Trunking VLANs Allowed: 10,20,30 (VLAN 50 missing),VLAN 50 missing from switchport trunk allowed vlan list,Layer 2,vlan-trunking,Medium
C045,Duplicate IP address conflict reported on router sub-interface Gi0/0.10,R1 sub-interface Gi0/0.10 acting as gateway for 192.168.10.0/24,show ip interface Gi0/0.10: Internet address is 192.168.10.1/24 (Duplicate address detected on MAC 0011.2233.4455),Static IP assigned to host overlaps with router gateway address,Layer 3,ip-address-conflict,High
C046,EIGRP neighbor adjacency failing between R1 and R2,R1 and R2 connected via serial link on subnet 10.1.1.0/30,show ip eigrp interfaces detail: K-values (1 0 1 0 0) vs neighbor K-values (1 0 1 1 0 mismatch),EIGRP metric K-value mismatch between routers,Layer 3,eigrp-mismatch,Medium
C047,NTP server synchronization failing on core switch,Switch syncing time from central NTP server at 172.16.1.100,show ntp status: Clock is unsynchronized stratum 16 reference is 0.0.0.0,NTP server address unreachable or authentication key mismatch,Layer 7,ntp-sync,Low
C048,Hosts in VLAN 20 cannot ping outside address 8.8.8.8,R1 applying outbound NAT on Gi0/0,show ip nat interfaces: Gi0/1 (inside) Gi0/0 missing 'ip nat outside' directive,Missing 'ip nat outside' command on WAN interface,Layer 3,nat-misconfig,High
C049,Network admin unable to log into switch via TACACS+,SW1 configured for AAA authentication via AAA server 10.0.0.50,show tacacs: Server 10.0.0.50 port 49 timeout/key mismatch error,TACACS+ shared secret key mismatch on switch,Layer 7,aaa-tacacs,High
C050,HSRP standby router R2 continuously active alongside primary R1,R1 and R2 dual gateways for VLAN 10 HSRP Group 1,show standby brief: Group 1 standby state active (Group ID mismatch: R1 group 1 vs R2 group 10),HSRP group ID mismatch causing split-brain active state,Layer 3,hsrp-misconfig,High
C051,DHCP snooping dropping legitimate client lease requests on switch port Fa0/5,Fa0/5 connected to uplink router carrying DHCP server traffic,show ip dhcp snooping binding: Fa0/5 dropped DHCP offer (untrusted port),Uplink interface missing 'ip dhcp snooping trust' command,Layer 2,dhcp-snooping,Medium
