case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C001,"PC in VLAN 30 gets IP but cannot reach server in VLAN 10; gateway ping fails","SW1 trunk to R1 router-on-a-stick; PC1 in VLAN30 on Fa0/5","show vlan brief: Fa0/5 assigned to VLAN 1 (should be VLAN30)","Access port assigned to wrong VLAN","Layer 2","vlan-misconfig","High"
C002,"Two PCs in same VLAN cannot ping each other","SW1 access switch, VLAN20 for Sales","show interfaces Fa0/3 status: Fa0/3 notconnect","Interface administratively down / cable issue","Layer 1","interface-down","Medium"
C003,"PC gets IP via DHCP but default gateway unreachable","PC1 on VLAN10, gateway is R1 sub-interface Gi0/0.10","show running-config interface Gi0/0.10: ip address 192.168.10.1 255.255.255.0; encapsulation missing dot1Q 10","Missing dot1Q encapsulation on router sub-interface","Layer 2","subinterface-encap","High"
C004,"PC cannot get an IP address at all, shows APIPA 169.254.x.x","PC1 in VLAN40, DHCP server is R1 with ip helper-address","show run | include ip helper-address: (no output)","Missing ip helper-address on SVI/sub-interface","Layer 3","dhcp-relay-missing","High"
C005,"PC receives IP from wrong subnet, cannot reach local gateway","VLAN50 clients, DHCP pool configured on R1","show run | section dhcp pool VLAN50: network 192.168.60.0 255.255.255.0 (should be .50.0)","DHCP pool network statement mismatched to VLAN subnet","Layer 3","dhcp-pool-mismatch","Medium"
C006,"DHCP clients fail to get address; server shows pool exhausted","VLAN30, 40 client PCs, pool sized /28","show ip dhcp pool VLAN30: Total addresses 14, Leased 14","DHCP pool too small / exhausted","Layer 3","dhcp-exhaustion","Medium"
C007,"PC can ping by IP but web pages fail to load by name","PC1 configured via DHCP on VLAN10","show run | section dhcp pool VLAN10: no dns-server statement","Missing DNS server option in DHCP pool","Layer 7","dns-missing","Medium"
C008,"PC can resolve internal names but not internet domains","Branch router R1 forwards DNS to ISP","show run | include name-server: ip name-server 192.168.1.1 (internal only, no external DNS forwarder)","No external DNS forwarding configured","Layer 7","dns-forwarding","Low"
C009,"Server unreachable by name; nslookup returns wrong IP","DNS server has static A record for SRV1","show hosts: SRV1 -> 10.10.10.99 (actual server IP is 10.10.10.9)","Stale/incorrect static DNS A record","Layer 7","dns-stale-record","Medium"
C010,"Remote VLAN cannot reach HQ subnet, all local traffic fine","R1-R2 connected via serial link, using static routes","show ip route: no route to 172.16.20.0/24 destination network","Missing static route for remote network","Layer 3","missing-route","High"
C011,"Branch router can ping HQ router interface but not hosts behind it","OSPF running between R1 and R2","show ip ospf neighbor: (empty - no neighbors formed)","OSPF neighbor adjacency not formed (area/network mismatch)","Layer 3","ospf-neighbor-down","High"
C012,"Routing works one direction only; return traffic dropped","R1 and R2 with static routes each side","show ip route on R2: missing return route to 192.168.10.0/24","Asymmetric/missing return static route","Layer 3","asymmetric-routing","High"
C013,"PC cannot reach any remote network, local subnet fine","PC1 gateway configured manually","show run interface Gi0/0 on PC-connected switchport: n/a; ipconfig on PC: default gateway 192.168.1.254 (actual gateway is .1)","Wrong default gateway configured on host","Layer 3","gateway-misconfig","High"
C014,"VLAN30 users can reach VLAN10 but not VLAN20 server","Inter-VLAN routing via router-on-a-stick with ACL on Gi0/0.20","show access-lists: ACL 101 deny ip 192.168.30.0 0.0.0.255 any (blocks all VLAN30 traffic)","Overly broad ACL blocking legitimate inter-VLAN traffic","Layer 3/4","acl-overblock","High"
C015,"Guest Wi-Fi clients can reach internal file server","WLAN mapped to VLAN99 guest network, ACL expected on SVI99","show access-lists: ACL GUEST-ACL not applied to interface Vlan99","ACL defined but not applied to interface (security gap)","Layer 3","acl-not-applied","High"
C016,"Server reachable internally but not from internet after NAT setup","R1 performing NAT/PAT to ISP interface","show ip nat translations: (empty, no translations built)","NAT not triggered - missing 'ip nat inside/outside' interface config","Layer 3","nat-interface-missing","High"
C017,"Internal hosts can browse internet but inbound port-forward to server fails","Static NAT for web server configured","show run | include ip nat inside source static: ip nat inside source static tcp 10.0.0.10 80 203.0.113.5 8080 (wrong external port, should be 80)","Static NAT port mapping misconfigured","Layer 4","nat-static-portmap","Medium"
C018,"All internal users lose internet access simultaneously","PAT overload configured on R1 outside interface","show run | include ip nat inside source list: NAT ACL 1 references wrong internal subnet","NAT ACL referencing incorrect source network","Layer 3","nat-acl-wrong","Medium"
C019,"Laptop cannot associate with corporate WLAN","WLC/AP configured with WPA2-PSK","show wlan summary: SSID CORP-WIFI, security key mismatch reported in client logs","Wrong Wi-Fi passphrase configured on client or AP","Layer 2","wifi-auth-mismatch","Low"
C020,"Wireless clients associate but get no IP address","AP bridged to VLAN30, trunk to switch","show interfaces trunk: VLAN30 not in allowed list on trunk port","VLAN pruned from trunk allowed list","Layer 2","trunk-vlan-pruned","High"
C021,"Wireless clients connect but cannot reach wired VLAN10 server","WLAN mapped to VLAN30, no inter-VLAN route configured","show ip route: connected networks only, no route for VLAN30","Missing inter-VLAN routing configuration","Layer 3","missing-intervlan-route","Medium"
C022,"Two PCs on same subnet report duplicate IP conflict error","VLAN10 statically addressed PCs","ipconfig on both PCs: 192.168.10.20 (identical)","Duplicate static IP address assignment","Layer 3","duplicate-ip","Medium"
C023,"PC on VLAN20 cannot communicate with any device, even same subnet","PC statically configured","ipconfig: IP 192.168.20.15 255.255.0.0 (wrong subnet mask, should be /24)","Incorrect subnet mask on host","Layer 3","wrong-mask","Medium"
C024,"Trunk link between switches drops VLAN10 traffic only","SW1-SW2 trunk configured","show interfaces trunk: VLAN10 not in 'Vlans allowed and active in management domain'","VLAN not permitted on trunk (native/allowed list issue)","Layer 2","trunk-vlan-not-allowed","High"
C025,"Native VLAN mismatch causes CDP warning and intermittent connectivity","SW1-SW2 trunk link","show interfaces trunk: SW1 native VLAN1, SW2 native VLAN99","Native VLAN mismatch across trunk","Layer 2","native-vlan-mismatch","Medium"
C026,"Spanning-tree loop causes broadcast storm, network unusable","Redundant links between SW1, SW2, SW3, no STP tuning","show spanning-tree: multiple ports in forwarding without expected blocking","STP misconfiguration / loop not blocked","Layer 2","stp-loop","High"
C027,"Router interface shows up/up but no traffic passes","R1 Gi0/1 to SW1","show interfaces Gi0/1: line protocol down (encapsulation mismatch on point-to-point link)","Encapsulation mismatch on serial/point-to-point link","Layer 2","encapsulation-mismatch","Medium"
C028,"Remote office cannot reach HQ after ACL applied to router interface","R2 has inbound ACL on Gi0/0","show access-lists: implicit deny at end of ACL 110 blocking return traffic (no permit established TCP)","ACL missing return traffic permit / implicit deny","Layer 4","acl-implicit-deny","Medium"
C029,"OSPF routes flapping intermittently between R1 and R2","Serial link with mismatched OSPF hello/dead timers","show ip ospf interface: hello interval 10 on R1, 5 on R2","OSPF timer mismatch preventing stable adjacency","Layer 3","ospf-timer-mismatch","Medium"
C030,"PC assigned correct IP/gateway but ping to gateway times out intermittently","VLAN10 client on access switch with port-security enabled","show port-security interface Fa0/6: SecurityViolation count incrementing, port in err-disabled briefly","Port security violation causing intermittent err-disable","Layer 2","port-security-violation","Low"
